mode,msg_bytes,cs_bytes,ad_bytes,out_bytes,chain_count,cycles,power_mw,notes
HASH256,0,0,0,32,1,820,,placeholder
HASH256,16,0,0,32,1,960,,placeholder
HASH256,64,0,0,32,1,1520,,placeholder
HASH256,128,0,0,32,1,2260,,placeholder
HASH256,256,0,0,32,1,3760,,placeholder
XOF,16,0,0,64,1,1210,,placeholder
XOF,64,0,0,64,1,1760,,placeholder
XOF,128,0,0,64,1,2540,,placeholder
XOF,256,0,0,64,1,4010,,placeholder
CXOF,16,8,0,64,1,1390,,placeholder
CXOF,64,16,0,64,1,2030,,placeholder
CXOF,128,16,0,64,1,2860,,placeholder
CXOF,256,32,0,64,1,4350,,placeholder
XOF_CHAIN,16,0,0,32,1,1210,,placeholder
XOF_CHAIN,16,0,0,32,2,2510,,placeholder
XOF_CHAIN,16,0,0,32,5,6410,,placeholder
XOF_CHAIN,16,0,0,32,16,20710,,placeholder
CXOF_CHAIN,16,8,0,32,1,1390,,placeholder
CXOF_CHAIN,16,8,0,32,2,2890,,placeholder
CXOF_CHAIN,16,8,0,32,5,7390,,placeholder
CXOF_CHAIN,16,8,0,32,16,23890,,placeholder
AEAD_ENC,32,0,16,48,1,3120,,placeholder
AEAD_ENC,128,0,16,144,1,5280,,placeholder
AEAD_DEC,32,0,16,32,1,3190,,placeholder
AEAD_DEC,128,0,16,128,1,5370,,placeholder
